Test Date,New Positives
2021-02-04,2804
2021-02-03,2455
2021-02-02,2239
2021-02-01,2398
2021-01-31,2665
2021-01-30,4108
2021-01-29,3118
2021-01-28,4631
2021-01-27,3320
2021-01-26,2495
2021-01-25,3651
2021-01-24,3944
2021-01-23,4641
2021-01-22,5272
2021-01-21,5140
2021-01-20,4514
2021-01-19,3085
2021-01-18,3301
2021-01-17,4414
2021-01-16,5799
2021-01-15,5525
2021-01-14,5955
2021-01-13,5918
2021-01-12,5487
2021-01-11,4251
2021-01-10,5656
2021-01-09,7414
2021-01-08,8120
2021-01-07,7548
2021-01-06,6851
2021-01-05,4634
2021-01-04,4906
2021-01-03,3481
2021-01-02,9003
2021-01-01,0
2020-12-31,7260
2020-12-30,6839
2020-12-29,4145
2020-12-28,4198
2020-12-27,3134
2020-12-26,7677
2020-12-25,0
2020-12-24,5937
2020-12-23,4814
2020-12-22,3800
2020-12-21,3843
2020-12-20,4261
2020-12-19,4344
2020-12-18,5679
2020-12-17,5135
2020-12-16,5952
2020-12-15,3929
2020-12-14,3653
2020-12-13,4853
2020-12-12,5289
2020-12-11,5655
2020-12-10,5369
2020-12-09,5965
2020-12-08,4122
2020-12-07,2481
2020-12-06,4827
2020-12-05,5619
2020-12-04,5491
2020-12-03,6675
2020-12-02,5027
2020-12-01,3073
2020-11-30,1168
2020-11-29,2495
2020-11-28,3217
2020-11-27,4658
2020-11-26,0
2020-11-25,3395
2020-11-24,2576
2020-11-23,1773
2020-11-22,2695
2020-11-21,3206
2020-11-20,2399
2020-11-19,2682
2020-11-18,2904
2020-11-17,2525
2020-11-16,2164
2020-11-15,2133
2020-11-14,3047
2020-11-13,2906
2020-11-12,2648
2020-11-11,2660
2020-11-10,2154
2020-11-09,1328
2020-11-08,1823
2020-11-07,2302
2020-11-06,2113
2020-11-05,1862
2020-11-04,1714
2020-11-03,1036
2020-11-02,842
2020-11-01,1131
2020-10-31,1430
2020-10-30,1582
2020-10-29,1346
2020-10-28,1181
2020-10-27,1260
2020-10-26,1212
2020-10-25,1077
2020-10-24,1203
2020-10-23,1070
2020-10-22,1049
2020-10-21,702
2020-10-20,976
2020-10-19,828
2020-10-18,730
2020-10-17,584
2020-10-16,767
2020-10-15,587
2020-10-14,580
2020-10-13,749
2020-10-12,760
2020-10-11,563
2020-10-10,639
2020-10-09,765
2020-10-08,444
2020-10-07,535
2020-10-06,495
2020-10-05,515
2020-10-04,644
2020-10-03,672
2020-10-02,761
2020-10-01,754
2020-09-30,532
2020-09-29,512
2020-09-28,430
2020-09-27,592
2020-09-26,569
2020-09-25,488
2020-09-24,481
2020-09-23,543
2020-09-22,173
2020-09-21,256
2020-09-20,359
2020-09-19,599
2020-09-18,454
2020-09-17,429
2020-09-16,306
2020-09-15,313
2020-09-14,254
2020-09-13,286
2020-09-12,554
2020-09-11,440
2020-09-10,403
2020-09-09,181
2020-09-08,171
2020-09-07,229
2020-09-06,366
2020-09-05,438
2020-09-04,212
2020-09-03,415
2020-09-02,-7757
2020-09-01,355
2020-08-31,304
2020-08-30,199
2020-08-29,446
2020-08-28,460
2020-08-27,368
2020-08-26,336
2020-08-25,398
2020-08-24,662
2020-08-23,0
2020-08-22,144
2020-08-21,488
2020-08-20,313
2020-08-19,827
2020-08-18,175
2020-08-17,213
2020-08-16,303
2020-08-15,366
2020-08-14,212
2020-08-13,319
2020-08-12,293
2020-08-11,392
2020-08-10,275
2020-08-09,329
2020-08-08,420
2020-08-07,417
2020-08-06,231
2020-08-05,440
2020-08-04,546
2020-08-03,199
2020-08-02,418
2020-08-01,428
2020-07-31,514
2020-07-30,414
2020-07-29,502
2020-07-28,256
2020-07-27,289
2020-07-26,369
2020-07-25,283
2020-07-24,338
2020-07-23,327
2020-07-22,287
2020-07-21,244
2020-07-20,255
2020-07-19,296
2020-07-18,359
2020-07-17,298
2020-07-16,234
2020-07-15,217
2020-07-14,303
2020-07-13,230
2020-07-12,199
2020-07-11,288
2020-07-10,213
2020-07-09,295
2020-07-08,264
2020-07-07,201
2020-07-06,163
2020-07-05,136
2020-07-04,210
2020-07-03,290
2020-07-02,195
2020-07-01,261
2020-06-30,114
2020-06-29,101
2020-06-28,224
2020-06-27,373
2020-06-26,233
2020-06-25,226
2020-06-24,172
2020-06-23,229
2020-06-22,149
2020-06-21,125
2020-06-20,286
2020-06-19,228
2020-06-18,271
2020-06-17,266
2020-06-16,195
2020-06-15,87
2020-06-14,208
2020-06-13,336
2020-06-12,392
2020-06-11,511
2020-06-10,267
2020-06-09,263
2020-06-08,190
2020-06-07,304
2020-06-06,575
2020-06-05,494
2020-06-04,471
2020-06-03,429
